CodeTiers,Cluster
100071.0,0
100209.0,2
100221.0,2
100313.0,2
100554.0,0
100613.0,2
100756.0,2
100988.0,2
101014.0,2
101190.0,2
101193.0,2
101723.0,2
101740.0,2
101943.0,3
102025.0,2
102029.0,2
102098.0,2
102234.0,2
102287.0,2
102319.0,2
102620.0,2
103033.0,2
103137.0,0
103208.0,2
103273.0,2
103362.0,0
103407.0,2
103434.0,2
103476.0,2
103478.0,2
103588.0,2
103628.0,2
103630.0,2
103705.0,2
103707.0,2
103717.0,2
103743.0,2
103786.0,2
103797.0,0
103826.0,2
103828.0,2
103872.0,0
103884.0,2
103948.0,2
103960.0,2
104025.0,2
104152.0,2
104215.0,2
104217.0,0
104240.0,2
104254.0,2
104377.0,2
104714.0,0
106532.0,2
106538.0,2
106811.0,2
106954.0,2
107154.0,2
107163.0,2
107348.0,2
107456.0,2
107475.0,2
107531.0,2
107618.0,2
107641.0,2
107796.0,2
107808.0,2
108030.0,2
108885.0,0
108910.0,2
109029.0,2
110275.0,2
110432.0,0
112017.0,2
112129.0,0
112294.0,2
112632.0,2
112725.0,0
112835.0,2
112898.0,2
112912.0,2
113668.0,0
113863.0,2
113892.0,2
113927.0,2
113953.0,2
113960.0,0
114207.0,2
114299.0,2
114307.0,2
114328.0,2
114573.0,2
114581.0,3
114740.0,2
114965.0,2
115165.0,0
115317.0,2
115345.0,2
115453.0,2
115590.0,2
115710.0,0
116246.0,2
116446.0,2
116648.0,2
117101.0,2
117204.0,2
117269.0,2
117682.0,2
117756.0,0
117844.0,0
117921.0,2
118024.0,2
118076.0,2
118119.0,2
119538.0,2
120054.0,2
120279.0,2
200007.0,2
200013.0,2
200040.0,2
200043.0,2
200048.0,2
200050.0,2
200067.0,2
200071.0,2
200092.0,2
200098.0,3
200103.0,2
200104.0,2
200106.0,2
200107.0,2
200109.0,0
200110.0,2
200124.0,2
200131.0,2
200142.0,2
200146.0,0
200152.0,2
200169.0,2
200171.0,2
200177.0,2
200178.0,2
200182.0,2
200186.0,2
200191.0,2
200214.0,0
200215.0,2
200219.0,2
200221.0,2
200225.0,2
200232.0,2
200239.0,2
200251.0,3
200252.0,2
200256.0,2
200257.0,2
200259.0,2
200261.0,2
200266.0,0
200276.0,0
200277.0,2
200279.0,2
200283.0,0
200285.0,2
200302.0,2
200320.0,2
200336.0,0
200347.0,2
200363.0,2
200365.0,2
200366.0,0
200376.0,2
200380.0,2
200382.0,2
200391.0,2
200409.0,2
200411.0,2
200414.0,0
200443.0,2
200447.0,2
200455.0,0
200457.0,0
200466.0,2
200476.0,2
200484.0,2
200505.0,2
200510.0,2
200511.0,2
200516.0,0
200527.0,2
200538.0,0
200540.0,2
200541.0,0
200548.0,2
200556.0,2
200559.0,2
200565.0,2
200575.0,2
200579.0,0
200583.0,2
200590.0,0
200610.0,2
200611.0,2
200617.0,2
200625.0,2
200629.0,2
200632.0,0
200647.0,2
200654.0,2
200656.0,2
200677.0,2
200684.0,3
200687.0,2
200699.0,2
200712.0,2
200714.0,2
200716.0,0
200721.0,0
200725.0,2
200736.0,2
200755.0,2
200763.0,2
200778.0,2
200781.0,3
200787.0,2
200829.0,2
200831.0,2
200836.0,2
200858.0,2
200863.0,2
200869.0,2
200880.0,2
200896.0,2
200904.0,0
200926.0,2
200928.0,0
200939.0,2
200943.0,0
200949.0,2
200963.0,2
201000.0,0
201009.0,2
201039.0,2
201046.0,2
201055.0,2
201058.0,2
201060.0,0
201067.0,2
201103.0,2
201106.0,0
201113.0,0
201121.0,2
201122.0,2
201125.0,2
201134.0,2
201148.0,2
201172.0,2
201210.0,2
201239.0,2
201242.0,2
201248.0,2
201249.0,2
201257.0,2
201258.0,2
201262.0,2
201269.0,3
201278.0,0
201282.0,2
201290.0,0
201295.0,3
201305.0,2
201307.0,2
201308.0,2
201309.0,0
201315.0,0
201318.0,2
201337.0,2
201342.0,2
201345.0,2
201349.0,2
201351.0,2
201352.0,2
201355.0,2
201358.0,2
201362.0,2
201368.0,0
201370.0,0
201381.0,0
201383.0,0
201385.0,2
201406.0,2
201410.0,0
201413.0,2
201432.0,2
201433.0,3
201438.0,2
201445.0,2
201448.0,2
201460.0,3
201471.0,2
201472.0,0
201477.0,2
201492.0,2
201493.0,2
201497.0,0
201499.0,2
201501.0,2
201505.0,2
201521.0,2
201526.0,2
201530.0,2
201544.0,3
201547.0,0
201557.0,2
201558.0,0
201562.0,2
201572.0,2
201573.0,2
201592.0,2
201596.0,0
201604.0,2
201605.0,2
201607.0,2
201609.0,2
201611.0,2
201621.0,2
201628.0,2
201631.0,2
201649.0,2
201656.0,2
201670.0,2
201683.0,3
201715.0,2
201718.0,2
201746.0,2
201749.0,2
201752.0,2
201784.0,2
201807.0,2
201818.0,2
201819.0,2
201831.0,2
201860.0,0
201866.0,2
201879.0,0
201890.0,2
201896.0,2
201913.0,2
201922.0,2
201941.0,2
201961.0,2
201963.0,3
201964.0,0
201968.0,0
201970.0,2
201981.0,2
201986.0,2
201987.0,2
201991.0,2
201994.0,2
202034.0,2
202041.0,0
202056.0,2
202080.0,2
202086.0,2
202099.0,2
202100.0,0
202123.0,2
202129.0,2
202132.0,2
202167.0,2
202179.0,2
202183.0,2
202189.0,2
202209.0,2
